name,year,county,time,pop,seed,sheep,lynx,lynx1,wolf,wolf1,popst,red,north,east,north2,east2
Gavle,54,5,27,6.4,2177,4504,1.67,1.316,0.456,0.152,"126,368",39.6,756,336,5715,1129
Koppar,54,6,27,5.2,2407,4358,1.217,1.184,0.23,0.23,"158,755",6.4,696,221,4844,488
Upps,54,8,27,12.6,8290,9352,1.527,0.694,0.971,1.249,"90,877",52.7,588,422,3457,1781
Vastml,54,9,27,15,8274,5150,2.268,1.21,1.512,0.756,"98,879",82.3,557,337,3102,1136
Alvsb,54,14,27,20.5,13638,8018,0.242,0.323,0.323,0.404,"254,290",49.6,352,101,1239,102
Goteborg,54,15,27,37,17350,11719,0.376,0.752,0.94,1.692,"196,662",80.8,381,44,1452,19
Ostergl,54,16,27,19.9,9587,6747,0.343,0.086,0.086,1.202,"231,358",34.4,375,302,1406,912
Halland,54,19,27,19.4,15428,10179,0,0,0.175,0.175,"110,815",46.2,208,107,433,114
Kronob,54,20,27,15.2,6245,7268,0.318,0.212,2.333,3.712,"143,707",47,184,224,339,502
Norrb,55,1,28,0.6,208,345,0,0.019,0.934,0.274,"63,649",5.2,1439,513,20707,2632
Vasterb,55,2,28,1.3,404,921,0.084,0.067,0.506,0.101,"75,974",8.3,1179,415,13900,1722
Jamt,55,3,28,1,301,1717,0.277,0.185,0.388,0.277,"56,127",3.9,976,222,9526,493
Vastern,55,4,28,4.7,1568,3046,0.692,0.779,0.043,0.043,"107,631",12.2,962,387,9254,1498
Gavle,55,5,28,6.4,2177,4504,2.025,1.67,0.456,0.456,"126,368",10.4,756,336,5715,1129
Koppar,55,6,28,5.2,2407,4358,1.316,1.217,0.164,0.23,"158,755",6.9,696,221,4844,488
Upps,55,8,28,12.6,8290,9352,1.11,1.527,2.776,0.971,"90,877",63.8,588,422,3457,1781
Vastml,55,9,28,15,8274,5150,1.512,2.268,1.058,1.512,"98,879",85.4,557,337,3102,1136
Alvsb,55,14,28,20.5,13638,8018,0.161,0.242,1.049,0.323,"254,290",62,352,101,1239,102
Goteborg,55,15,28,37,17350,11719,0.188,0.376,0.188,0.94,"196,662",75.9,381,44,1452,19
Ostergl,55,16,28,19.9,9587,6747,0.773,0.343,0.945,0.086,"231,358",34.9,375,302,1406,912
Kalmar,55,17,28,18.2,8615,9118,0.222,0.359,1.454,1.283,"212,432",87.5,237,323,562,1043
Jonk,55,18,28,15.6,9215,8900,0,0,0.093,0,"166,591",17.3,269,217,724,471
Halland,55,19,28,19.4,15428,10179,0,0,0.175,0.175,"110,815",40.4,208,107,433,114
Kronob,55,20,28,15.2,6245,7268,0.106,0.318,1.909,2.333,"143,707",49.8,184,224,339,502
Norrb,56,1,29,0.6,291,336,0.009,0,0.274,0.934,"63,649",5.8,1439,513,20707,2632
Vasterb,56,2,29,1.3,542,846,0.101,0.084,0.27,0.506,"75,974",8.1,1179,415,13900,1722
Jamt,56,3,29,1,357,1690,0.518,0.277,0.407,0.388,"56,127",4.4,976,222,9526,493
Vastern,56,4,29,4.7,1551,2758,1.558,0.692,0,0.043,"107,631",12.9,962,387,9254,1498
Gavle,56,5,29,6.4,2805,3159,1.62,2.025,0.051,0.456,"126,368",8.4,756,336,5715,1129
Koppar,56,6,29,5.2,3076,3349,1.349,1.316,0.395,0.164,"158,755",3.3,696,221,4844,488
Upps,56,8,29,12.6,11943,6608,1.11,1.11,0.694,2.776,"90,877",63.6,588,422,3457,1781
Vastml,56,9,29,15,9818,5236,1.814,1.512,1.663,1.058,"98,879",77.7,557,337,3102,1136
Orebro,56,11,29,15.3,9573,5595,0.235,0,0,0.043,"142,863",3.5,499,254,2490,645
Alvsb,56,14,29,20.5,14373,6542,0.323,0.161,0.969,1.049,"254,290",57.6,352,101,1239,102
Goteborg,56,15,29,37,21840,11455,0.188,0.188,1.504,0.188,"196,662",77.4,381,44,1452,19
Ostergl,56,16,29,19.9,13434,7172,0.086,0.773,0.515,0.945,"231,358",26.4,375,302,1406,912
Halland,56,19,29,19.4,20784,10578,0,0,0,0.175,"110,815",60.3,208,107,433,114
Kronob,56,20,29,15.2,9224,7425,0,0.106,1.379,1.909,"143,707",56,184,224,339,502
Blek,56,22,29,36.4,13885,10198,0,0,0,0,"111,255",63.5,120,263,144,692
Malmo,56,23,29,53.2,56852,20448,0,0,0,0,"268,579",14.5,58,136,34,185
Norrb,57,1,30,0.6,291,336,0.047,0.009,0.415,0.274,"63,649",5,1439,513,20707,2632
Vasterb,57,2,30,1.3,542,846,0.084,0.101,0.27,0.27,"75,974",8.1,1179,415,13900,1722
Jamt,57,3,30,1,357,1690,0.407,0.518,0.185,0.407,"56,127",3.3,976,222,9526,493
Vastern,57,4,30,4.7,1551,2758,0.866,1.558,0,0,"107,631",8.3,962,387,9254,1498
Gavle,57,5,30,6.4,2805,3159,1.62,1.62,0.051,0.051,"126,368",7.2,756,336,5715,1129
Koppar,57,6,30,5.2,3076,3349,1.283,1.349,0.625,0.395,"158,755",5.9,696,221,4844,488
Varm,57,7,30,12,8613,4821,1.176,1.176,0.536,0.536,"232,521",34.1,564,140,3181,196
Upps,57,8,30,12.6,11943,6608,1.11,1.11,1.249,0.694,"90,877",66.9,588,422,3457,1781
Vastml,57,9,30,15,9818,5236,1.814,1.814,0.454,1.663,"98,879",84.4,557,337,3102,1136
Stock,57,10,30,31.8,11792,7040,0.736,0.736,0,0,"216,008",25.9,519,453,2694,2052
Orebro,57,11,30,15.3,9573,5595,0.235,0.235,0,0,"142,863",3.5,499,254,2490,645
Skara,57,13,30,25.4,35004,10418,0,0,0.9,0.9,"208,795",102.7,382,170,1459,289
Alvsb,57,14,30,20.5,14373,6542,0.161,0.323,1.13,0.969,"254,290",68.5,352,101,1239,102
Goteborg,57,15,30,37,21840,11455,0,0.188,0.188,1.504,"196,662",102.2,381,44,1452,19
Ostergl,57,16,30,19.9,13434,7172,0.086,0.086,0.258,0.515,"231,358",28.6,375,302,1406,912
Kalmar,57,17,30,18.2,14148,8987,0.171,0.086,0.342,1.625,"212,432",110.5,237,323,562,1043
Halland,57,19,30,19.4,20784,10578,0,0,0,0,"110,815",51.6,208,107,433,114
Kronob,57,20,30,15.2,9224,7425,0,0,1.697,1.379,"143,707",52.1,184,224,339,502
Kristian,57,21,30,31.1,24461,11708,0,0.158,0,0.475,"196,206",27.2,103,170,106,289
Blek,57,22,30,36.4,13885,10198,0,0,0.655,0,"111,255",70.4,120,263,144,692
Malmo,57,23,30,53.2,56852,20448,0,0,0,0,"268,579",13.3,58,136,34,185
Norrb,58,1,31,0.7,291,336,0.028,0.047,0.321,0.415,"69,225",5.9,1439,513,20707,2632
Vasterb,58,2,31,1.4,542,846,0.118,0.084,0.388,0.27,"81,478",9.6,1179,415,13900,1722
Jamt,58,3,31,1.1,357,1690,0.148,0.407,0.536,0.185,"61,218",4.1,976,222,9526,493
Vastern,58,4,31,5,1551,2758,0.433,0.866,0.043,0,"116,669",9.2,962,387,9254,1498
Gavle,58,5,31,6.9,2805,3159,1.569,1.62,0.101,0.051,"136,061",8.4,756,336,5715,1129
Koppar,58,6,31,5.5,3076,3349,1.02,1.283,0.493,0.625,"166,899",6.3,696,221,4844,488
Varm,58,7,31,12.7,8613,4821,1.176,1.176,0.536,0.536,"247,171",34.1,564,140,3181,196
Upps,58,8,31,12.8,11943,6608,1.527,1.11,1.665,1.249,"92,536",65,588,422,3457,1781
Vastml,58,9,31,15.6,9818,5236,1.21,1.814,0.756,0.454,"103,300",82.1,557,337,3102,1136
Stock,58,10,31,34.5,11792,7040,2.799,0.736,0.147,0,"234,128",72.2,519,453,2694,2052
Orebro,58,11,31,16.2,9573,5595,0.235,0.235,0,0,"151,651",3.5,499,254,2490,645
Skara,58,13,31,27,35004,10418,0,0,0.9,0.9,"222,240",88.1,382,170,1459,289
Alvsb,58,14,31,21.7,14373,6542,0.484,0.161,0.646,1.13,"269,322",77.4,352,101,1239,102
Goteborg,58,15,31,40.3,21840,11455,0.376,0,1.128,0.188,"214,342",109.2,381,44,1452,19
Ostergl,58,16,31,20.7,13434,7172,0,0.086,0.429,0.258,"240,917",19.5,375,302,1406,912
Kalmar,58,17,31,18.9,14148,8987,0.684,0.171,1.112,0.342,"221,029",88.3,237,323,562,1043
Jonk,58,18,31,16,13332,9561,0,0.093,0,0,"171,011",78.1,269,217,724,471
Halland,58,19,31,20.9,20784,10578,0,0,0,0,"119,578",58.2,208,107,433,114
Kronob,58,20,31,16.1,9224,7425,0.106,0,1.591,1.697,"152,225",49.2,184,224,339,502
Kristian,58,21,31,33.2,24461,11708,0,0,0,0,"209,581",27.7,103,170,106,289
Blek,58,22,31,38.6,13885,10198,0,0,0.327,0.655,"117,875",95.2,120,263,144,692
Malmo,58,23,31,56.3,56852,20448,0,0,0,0,"284,430",13.3,58,136,34,185
Norrb,59,1,32,0.7,291,336,0.019,0.028,0.538,0.321,"69,225",5.6,1439,513,20707,2632
Vasterb,59,2,32,1.4,542,846,0.135,0.118,0.101,0.388,"81,478",8.8,1179,415,13900,1722
Jamt,59,3,32,1.1,357,1690,0.259,0.148,0.296,0.536,"61,218",3.7,976,222,9526,493
Vastern,59,4,32,5,1551,2758,0.909,0.433,0.043,0.043,"116,669",11.9,962,387,9254,1498
Gavle,59,5,32,6.9,2805,3159,1.114,1.569,0,0.101,"136,061",8.9,756,336,5715,1129
Koppar,59,6,32,5.5,3076,3349,1.085,1.02,0.987,0.493,"166,899",10.5,696,221,4844,488
Varm,59,7,32,12.7,8613,4821,1.176,1.176,0.536,0.536,"247,171",34.1,564,140,3181,196
Upps,59,8,32,12.8,11943,6608,1.11,1.527,1.804,1.665,"92,536",65.5,588,422,3457,1781
Vastml,59,9,32,15.6,9818,5236,0.302,1.21,0.302,0.756,"103,300",98.3,557,337,3102,1136
Stock,59,10,32,34.5,11792,7040,0.295,2.799,0,0.147,"234,128",38.1,519,453,2694,2052
Orebro,59,11,32,16.2,9573,5595,0.235,0.235,0,0,"151,651",3.5,499,254,2490,645
Skara,59,13,32,27,35004,10418,0,0,0.9,0.9,"222,240",108.6,382,170,1459,289
Alvsb,59,14,32,21.7,14373,6542,0.484,0.484,0.565,0.646,"269,322",24.9,352,101,1239,102
Goteborg,59,15,32,40.3,21840,11455,0.188,0.376,0.752,1.128,"214,342",128.4,381,44,1452,19
Ostergl,59,16,32,20.7,13434,7172,0.172,0,1.116,0.429,"240,917",62.4,375,302,1406,912
Kalmar,59,17,32,18.9,14148,8987,0.684,0.684,0.684,1.112,"221,029",119.5,237,323,562,1043
Jonk,59,18,32,16,13332,9561,0.56,0,0.093,0,"171,011",116.9,269,217,724,471
Halland,59,19,32,20.9,20784,10578,0,0,0.175,0,"119,578",41.1,208,107,433,114
Kronob,59,20,32,16.1,9224,7425,0.106,0.106,0,1.591,"152,225",44,184,224,339,502
Kristian,59,21,32,33.2,24461,11708,0,0,0,0,"209,581",27.5,103,170,106,289
Blek,59,22,32,38.6,13885,10198,0,0,0,0.327,"117,875",117.8,120,263,144,692
Malmo,59,23,32,56.3,56852,20448,0,0,0,0,"284,430",13.7,58,136,34,185
Norrb,60,1,33,0.7,291,336,0.028,0.019,0.358,0.538,"69,225",5.6,1439,513,20707,2632
Vasterb,60,2,33,1.4,542,846,0.051,0.135,0.101,0.101,"81,478",10.1,1179,415,13900,1722
Jamt,60,3,33,1.1,357,1690,0.055,0.259,0.333,0.296,"61,218",4.5,976,222,9526,493
Vastern,60,4,33,5,1551,2758,1.039,0.909,0,0.043,"116,669",16.8,962,387,9254,1498
Gavle,60,5,33,6.9,2805,3159,1.468,1.114,0,0,"136,061",10,756,336,5715,1129
Koppar,60,6,33,5.5,3076,3349,0.756,1.085,0.625,0.987,"166,899",16.6,696,221,4844,488
Varm,60,7,33,12.7,8613,4821,1.176,1.176,0.536,0.536,"247,171",34.1,564,140,3181,196
Upps,60,8,33,12.8,11943,6608,1.11,1.11,0.971,1.804,"92,536",85.2,588,422,3457,1781
Vastml,60,9,33,15.6,9818,5236,1.663,0.302,0.454,0.302,"103,300",114,557,337,3102,1136
Stock,60,10,33,34.5,11792,7040,1.473,0.295,0.295,0,"234,128",170.7,519,453,2694,2052
Orebro,60,11,33,16.2,9573,5595,0.235,0.235,0,0,"151,651",3.5,499,254,2490,645
Skara,60,13,33,27,35004,10418,0,0,0.9,0.9,"222,240",126,382,170,1459,289
Alvsb,60,14,33,21.7,14373,6542,0.969,0.484,0.646,0.565,"269,322",83.2,352,101,1239,102
Goteborg,60,15,33,40.3,21840,11455,0,0.188,1.88,0.752,"214,342",124.1,381,44,1452,19
Ostergl,60,16,33,20.7,13434,7172,0,0.172,0.859,1.116,"240,917",47.3,375,302,1406,912
Kalmar,60,17,33,18.9,14148,8987,0.684,0.684,0.513,0.684,"221,029",79.9,237,323,562,1043
Jonk,60,18,33,16,13332,9561,0,0.56,0,0.093,"171,011",140.9,269,217,724,471
Halland,60,19,33,20.9,20784,10578,0,0,0.525,0.175,"119,578",83,208,107,433,114
Kronob,60,20,33,16.1,9224,7425,0.212,0.106,2.227,0,"152,225",50.1,184,224,339,502
Kristian,60,21,33,33.2,24461,11708,0,0,0,0,"209,581",29.6,103,170,106,289
Blek,60,22,33,38.6,13885,10198,0,0,0,0,"117,875",158.4,120,263,144,692
Malmo,60,23,33,56.3,56852,20448,0,0,0,0,"284,430",15.4,58,136,34,185
Norrb,61,1,34,0.7,233,117,0.009,0.028,0.358,0.358,"69,225",5,1439,513,20707,2632
Vasterb,61,2,34,1.4,508,254,0,0.051,0.101,0.101,"81,478",8.7,1179,415,13900,1722
Jamt,61,3,34,1.1,353,177,0.018,0.055,0.055,0.333,"61,218",2.4,976,222,9526,493
Vastern,61,4,34,5,1647,823,0.779,1.039,0.043,0,"116,669",14.5,962,387,9254,1498
Gavle,61,5,34,6.9,2686,1343,0.962,1.468,0.354,0,"136,061",15.4,756,336,5715,1129
Koppar,61,6,34,5.5,3144,1572,0.822,0.756,0.526,0.625,"166,899",11.3,696,221,4844,488
Varm,61,7,34,12.7,8000,4000,0.99,1.176,0,0.536,"247,171",36.7,564,140,3181,196
Upps,61,8,34,12.8,11287,5644,1.11,1.11,0.833,0.971,"92,536",94.2,588,422,3457,1781
Vastml,61,9,34,15.6,10470,5235,0.454,1.663,0.454,0.454,"103,300",121.7,557,337,3102,1136
Stock,61,10,34,34.5,12180,6090,2.209,1.473,0,0.295,"234,128",147.6,519,453,2694,2052
Orebro,61,11,34,16.2,9495,4748,0,0.235,0,0,"151,651",3.2,499,254,2490,645
Skara,61,13,34,27,33088,16544,0,0,0.487,0.9,"222,240",145.2,382,170,1459,289
Alvsb,61,14,34,21.7,15166,7583,0.484,0.969,1.534,0.646,"269,322",98.3,352,101,1239,102
Goteborg,61,15,34,40.3,19158,9579,0,0,0.752,1.88,"214,342",122,381,44,1452,19
Ostergl,61,16,34,20.7,14417,7209,0.429,0,0,0.859,"240,917",64.7,375,302,1406,912
Kalmar,61,17,34,18.9,12373,6187,0.77,0.684,0.599,0.513,"221,029",106,237,323,562,1043
Jonk,61,18,34,16,12831,6416,0.374,0,0,0,"171,011",116.5,269,217,724,471
Halland,61,19,34,20.9,19948,9974,0.35,0,0.35,0.525,"119,578",79,208,107,433,114
Kronob,61,20,34,16.1,8942,4471,0.318,0.212,0,2.227,"152,225",40.7,184,224,339,502
Kristian,61,21,34,33.2,24655,12327,0,0,0,0,"209,581",77.3,103,170,106,289
Blek,61,22,34,38.6,14101,7051,0,0,0,0,"117,875",117.8,120,263,144,692
Malmo,61,23,34,56.3,57059,28529,0,0,0,0,"284,430",52.3,58,136,34,185
Norrb,62,1,35,0.7,233,117,0.009,0.009,0.443,0.358,"69,225",4.5,1439,513,20707,2632
Vasterb,62,2,35,1.4,508,254,0,0,0.051,0.101,"81,478",6.3,1179,415,13900,1722
Jamt,62,3,35,1.1,353,177,0.148,0.018,0.259,0.055,"61,218",3,976,222,9526,493
Vastern,62,4,35,5,1647,823,0.736,0.779,0.043,0.043,"116,669",14.9,962,387,9254,1498
Gavle,62,5,35,6.9,2686,1343,1.519,0.962,0.101,0.354,"136,061",15.3,756,336,5715,1129
Koppar,62,6,35,5.5,3144,1572,0.789,0.822,0.493,0.526,"166,899",14.2,696,221,4844,488
Varm,62,7,35,12.7,8000,4000,0.799,0.99,0.064,0,"247,171",39.3,564,140,3181,196
Upps,62,8,35,12.8,11287,5644,0.833,1.11,0,0.833,"92,536",102.4,588,422,3457,1781
Vastml,62,9,35,15.6,10470,5235,0.605,0.454,0.907,0.454,"103,300",123.8,557,337,3102,1136
Stock,62,10,35,34.5,12180,6090,0.589,2.209,0,0,"234,128",139.2,519,453,2694,2052
Orebro,62,11,35,16.2,9495,4748,0,0,0,0,"151,651",7.9,499,254,2490,645
Soderml,62,12,35,19.2,11710,5855,0.454,0,0,0,"126,705",58,463,361,2144,1303
Skara,62,13,35,27,33088,16544,0,0,0.73,0.487,"222,240",131.9,382,170,1459,289
Alvsb,62,14,35,21.7,15166,7583,0.484,0.484,0.404,1.534,"269,322",99.3,352,101,1239,102
Goteborg,62,15,35,40.3,19158,9579,0,0,0.564,0.752,"214,342",124.4,381,44,1452,19
Ostergl,62,16,35,20.7,14417,7209,0.429,0.429,0,0,"240,917",67.6,375,302,1406,912
Kalmar,62,17,35,18.9,12373,6187,0.855,0.77,0,0.599,"221,029",122.7,237,323,562,1043
Jonk,62,18,35,16,12831,6416,0,0.374,0,0,"171,011",97,269,217,724,471
Halland,62,19,35,20.9,19948,9974,0.525,0.35,0,0.35,"119,578",73.3,208,107,433,114
Kronob,62,20,35,16.1,8942,4471,0.106,0.318,0,0,"152,225",36.7,184,224,339,502
Kristian,62,21,35,33.2,24655,12327,0,0,0.95,0,"209,581",77.7,103,170,106,289
Blek,62,22,35,38.6,14101,7051,0,0,0,0,"117,875",134.5,120,263,144,692
Malmo,62,23,35,56.3,57059,28529,0,0,0,0,"284,430",54.6,58,136,34,185
Norrb,63,1,36,0.7,233,117,0.028,0.009,0.424,0.443,"74,576",5.1,1439,513,20707,2632
Vasterb,63,2,36,1.5,508,254,0.186,0,0.202,0.051,"88,763",6.8,1179,415,13900,1722
Jamt,63,3,36,1.3,353,177,0.148,0.148,0.166,0.259,"68,071",3.5,976,222,9526,493
Vastern,63,4,36,5.5,1647,823,1.255,0.736,0,0.043,"127,524",15.1,962,387,9254,1498
Gavle,63,5,36,7.3,2686,1343,1.923,1.519,0.152,0.101,"143,793",16.5,756,336,5715,1129
Koppar,63,6,36,5.7,3144,1572,0.592,0.789,0.625,0.493,"174,758",13.1,696,221,4844,488
Varm,63,7,36,13.4,8000,4000,0.598,0.799,0.129,0.064,"259,612",41.9,564,140,3181,196
Upps,63,8,36,13.4,11287,5644,0.416,0.833,0.278,0,"96,766",101.5,588,422,3457,1781
Vastml,63,9,36,16.5,10470,5235,1.058,0.605,0.605,0.907,"108,859",114.8,557,337,3102,1136
Stock,63,10,36,38.6,12180,6090,0.295,0.589,0,0,"261,819",159.5,519,453,2694,2052
Orebro,63,11,36,17.4,9495,4748,0,0,0,0,"162,717",10.9,499,254,2490,645
Soderml,63,12,36,20.3,11710,5855,0,0.454,0,0,"133,900",57.7,463,361,2144,1303
Skara,63,13,36,28.8,33088,16544,0,0,0.122,0.73,"236,775",116.9,382,170,1459,289
Alvsb,63,14,36,22.5,15166,7583,0.404,0.484,1.13,0.404,"279,153",93.6,352,101,1239,102
Goteborg,63,15,36,43.6,19158,9579,0,0,0.188,0.564,"232,181",132.1,381,44,1452,19
Ostergl,63,16,36,21.7,14417,7209,0.343,0.429,0.086,0,"253,148",62.4,375,302,1406,912
Kalmar,63,17,36,19.9,12373,6187,0.086,0.855,0,0,"233,165",133.6,237,323,562,1043
Jonk,63,18,36,17.2,12831,6416,0.093,0,0,0,"183,851",108.1,269,217,724,471
Halland,63,19,36,22,19948,9974,0,0.525,0,0,"126,060",62.8,208,107,433,114
Kronob,63,20,36,17.2,8942,4471,0,0.106,0,0,"162,553",49.3,184,224,339,502
Kristian,63,21,36,35.2,24655,12327,0,0,0,0.95,"222,235",66.6,103,170,106,289
Blek,63,22,36,41.1,14101,7051,0,0,0,0,"125,436",90.3,120,263,144,692
Malmo,63,23,36,60.4,57059,28529,0,0,0,0,"305,261",52.5,58,136,34,185
Norrb,64,1,37,0.7,233,117,0.009,0.028,0.604,0.424,"74,576",5.8,1439,513,20707,2632
Vasterb,64,2,37,1.5,508,254,0.219,0.186,0.219,0.202,"88,763",5.8,1179,415,13900,1722
Jamt,64,3,37,1.3,353,177,0.333,0.148,0.24,0.166,"68,071",4.9,976,222,9526,493
Vastern,64,4,37,5.5,1647,823,1.774,1.255,0.043,0,"127,524",24.8,962,387,9254,1498
Gavle,64,5,37,7.3,2686,1343,1.721,1.923,0.253,0.152,"143,793",22,756,336,5715,1129
Koppar,64,6,37,5.7,3144,1572,0.756,0.592,0.691,0.625,"174,758",15.4,696,221,4844,488
Varm,64,7,37,13.4,8000,4000,0.402,0.598,0.193,0.129,"259,612",44.5,564,140,3181,196
Upps,64,8,37,13.4,11287,5644,0.833,0.416,0.416,0.278,"96,766",111.7,588,422,3457,1781
Vastml,64,9,37,16.5,10470,5235,0.907,1.058,0.454,0.605,"108,859",109.2,557,337,3102,1136
Stock,64,10,37,38.6,12180,6090,0.589,0.295,0,0,"261,819",107.1,519,453,2694,2052
Orebro,64,11,37,17.4,9495,4748,0,0,0,0,"162,717",6.2,499,254,2490,645
Soderml,64,12,37,20.3,11710,5855,0,0,0,0,"133,900",73.9,463,361,2144,1303
Skara,64,13,37,28.8,33088,16544,0,0,0.122,0.122,"236,775",107.3,382,170,1459,289
Alvsb,64,14,37,22.5,15166,7583,0.565,0.404,0.969,1.13,"279,153",83.6,352,101,1239,102
Goteborg,64,15,37,43.6,19158,9579,0,0,0.564,0.188,"232,181",115.2,381,44,1452,19
Ostergl,64,16,37,21.7,14417,7209,0.515,0.343,0.086,0.086,"253,148",73.2,375,302,1406,912
Kalmar,64,17,37,19.9,12373,6187,0,0.086,0,0,"233,165",76.3,237,323,562,1043
Jonk,64,18,37,17.2,12831,6416,0.28,0.093,0.187,0,"183,851",116.1,269,217,724,471
Halland,64,19,37,22,19948,9974,0.175,0,0.699,0,"126,060",74.5,208,107,433,114
Kronob,64,20,37,17.2,8942,4471,0.106,0,0.106,0,"162,553",53.6,184,224,339,502
Kristian,64,21,37,35.2,24655,12327,0,0,0,0,"222,235",82.8,103,170,106,289
Blek,64,22,37,41.1,14101,7051,0,0,0,0,"125,436",130.9,120,263,144,692
Malmo,64,23,37,60.4,57059,28529,0,0,0,0,"305,261",53.5,58,136,34,185
Norrb,65,1,38,0.7,233,117,0,0.009,0.358,0.604,"74,576",6.6,1439,513,20707,2632
Vasterb,65,2,38,1.5,508,254,0.017,0.219,0.034,0.219,"88,763",6.3,1179,415,13900,1722
Jamt,65,3,38,1.3,353,177,0.333,0.333,0.018,0.24,"68,071",2.9,976,222,9526,493
Vastern,65,4,38,5.5,1647,823,1.082,1.774,0,0.043,"127,524",20.1,962,387,9254,1498
Gavle,65,5,38,7.3,2686,1343,2.582,1.721,0.253,0.253,"143,793",32.5,756,336,5715,1129
Koppar,65,6,38,5.7,3144,1572,0.756,0.756,0.559,0.691,"174,758",18.3,696,221,4844,488
Varm,65,7,38,13.4,8000,4000,0.206,0.402,0.258,0.193,"259,612",47.1,564,140,3181,196
Upps,65,8,38,13.4,11287,5644,0.694,0.833,0.139,0.416,"96,766",136,588,422,3457,1781
Vastml,65,9,38,16.5,10470,5235,0.151,0.907,0.454,0.454,"108,859",55.9,557,337,3102,1136
Stock,65,10,38,38.6,12180,6090,0.442,0.589,0,0,"261,819",113.6,519,453,2694,2052
Orebro,65,11,38,17.4,9495,4748,0.214,0,0.214,0,"162,717",46.1,499,254,2490,645
Soderml,65,12,38,20.3,11710,5855,0.454,0,0,0,"133,900",80.2,463,361,2144,1303
Skara,65,13,38,28.8,33088,16544,0,0,0,0.122,"236,775",56.9,382,170,1459,289
Ostergl,65,16,38,21.7,14417,7209,0.258,0.515,0,0.086,"253,148",79.3,375,302,1406,912
Kalmar,65,17,38,19.9,12373,6187,0,0,0,0,"233,165",164.4,237,323,562,1043
Jonk,65,18,38,17.2,12831,6416,0.28,0.28,0,0.187,"183,851",109.1,269,217,724,471
Halland,65,19,38,22,19948,9974,0.35,0.175,0,0.699,"126,060",86,208,107,433,114
Kronob,65,20,38,17.2,8942,4471,0,0.106,0,0.106,"162,553",178,184,224,339,502
Kristian,65,21,38,35.2,24655,12327,0,0,0,0,"222,235",191.9,103,170,106,289
Blek,65,22,38,41.1,14101,7051,0,0,0,0,"125,436",139.1,120,263,144,692
Malmo,65,23,38,60.4,57059,28529,0,0,0,0,"305,261",81.4,58,136,34,185
Norrb,66,1,39,0.7,175,450,0,0,0.113,0.358,"74,576",16,1439,513,20707,2632
Vasterb,66,2,39,1.5,475,1095,0.118,0.017,0.051,0.034,"88,763",15,1179,415,13900,1722
Jamt,66,3,39,1.3,349,2106,0.555,0.333,0.129,0.018,"68,071",6.1,976,222,9526,493
Vastern,66,4,39,5.5,1743,3202,1.255,1.082,0,0,"127,524",23.5,962,387,9254,1498
Gavle,66,5,39,7.3,2568,3855,1.164,2.582,0.101,0.253,"143,793",42.3,756,336,5715,1129
Koppar,66,6,39,5.7,3212,3783,0.855,0.756,0.46,0.559,"174,758",22.1,696,221,4844,488
Varm,66,7,39,13.4,7386,4467,0.309,0.206,0.567,0.258,"259,612",64.9,564,140,3181,196
Upps,66,8,39,13.4,10632,6221,0.833,0.694,0,0.139,"96,766",57.6,588,422,3457,1781
Vastml,66,9,39,16.5,11122,4993,0.756,0.151,0,0.454,"108,859",73.2,557,337,3102,1136
Stock,66,10,39,38.6,12568,7027,0.147,0.442,0,0,"261,819",82.9,519,453,2694,2052
Orebro,66,11,39,17.4,9418,5707,0,0.214,0,0.214,"162,717",86.4,499,254,2490,645
Soderml,66,12,39,20.3,12777,10494,0,0.454,0,0,"133,900",53.7,463,361,2144,1303
Skara,66,13,39,28.8,31172,10009,0,0,0,0,"236,775",91.1,382,170,1459,289
Ostergl,66,16,39,21.7,15400,7625,0.343,0.258,0,0,"253,148",59.6,375,302,1406,912
Kalmar,66,17,39,19.9,10598,9453,0,0,0,0,"233,165",141.1,237,323,562,1043
Jonk,66,18,39,17.2,12331,9848,0.093,0.28,0,0,"183,851",108.8,269,217,724,471
Halland,66,19,39,22,19113,9296,0.175,0.35,0.175,0,"126,060",89.9,208,107,433,114
Kronob,66,20,39,17.2,8660,7778,0,0,0,0,"162,553",63.6,184,224,339,502
Blek,66,22,39,41.1,14317,8646,0,0,0,0,"125,436",188.5,120,263,144,692
Malmo,66,23,39,60.4,57265,23550,0,0,0,0,"305,261",59.2,58,136,34,185
Norrb,67,1,40,0.7,199,431,0,0,0.208,0.113,"74,576",14.4,1439,513,20707,2632
Vasterb,67,2,40,1.5,465,950,0.084,0.118,0.186,0.051,"88,763",8.6,1179,415,13900,1722
Jamt,67,3,40,1.3,344,2020,0.277,0.555,0.314,0.129,"68,071",7.1,976,222,9526,493
Vastern,67,4,40,5.5,1545,3061,0.606,1.255,0.087,0,"127,524",19.9,962,387,9254,1498
Gavle,67,5,40,7.3,2535,3850,1.063,1.164,0.253,0.101,"143,793",33.6,756,336,5715,1129
Koppar,67,6,40,5.7,3297,3621,0.855,0.855,0.197,0.46,"174,758",17.8,696,221,4844,488
Varm,67,7,40,13.4,8115,4964,1.032,0.309,0.155,0.567,"259,612",60.9,564,140,3181,196
Upps,67,8,40,13.4,10728,6135,0.139,0.833,0.833,0,"96,766",75.6,588,422,3457,1781
Vastml,67,9,40,16.5,11590,5014,0.302,0.756,0.302,0,"108,859",64,557,337,3102,1136
